Wall time,Step,Value
1746146513.1417546,1,182665.40625
1746147254.9312956,1000,142582.390625
1746147995.0047631,2000,142858.25
1746148732.6354983,3000,132298.40625
1746149473.2640932,4000,143433.15625
1746150211.0481935,5000,134133.28125
1746150952.5210078,6000,142083.625
1746151691.0322614,7000,141255.1875
1746152443.1764522,8000,139010.171875
1746153199.330168,9000,128910.953125
1746153941.4881923,10000,137220.53125
1746154681.2295506,11000,135273.15625
1746155416.4776497,12000,134873.734375
1746204651.5649633,13000,125553.625
1746205779.8593621,14000,140407.546875
1746206553.182279,15000,135039.90625
1746207325.583386,16000,135364.796875
1746208102.3573942,17000,131958.46875
1746208875.6696858,18000,143782.328125
1746209655.7950978,19000,140025.28125
1746210417.695189,20000,155938.78125
1746211174.8296463,21000,137613.234375
1746211934.2599673,22000,139808.921875
1746212699.6671338,23000,125375.2421875
1746213453.620221,24000,138086.53125
1746214205.0965075,25000,135069.3125
1746214964.433328,26000,131778.4375
1746215717.2251327,27000,135270.5
1746216465.7822511,28000,133811.625
1746217216.2218285,29000,135216.765625
1746217970.6147761,30000,136945.640625
1746218728.7841885,31000,133377.265625
1746219484.2376385,32000,138253.296875
1746220241.2516062,33000,132250.28125
1746220995.566877,34000,136085.5
1746221747.256334,35000,133334.921875
1746222497.1903024,36000,126894.7265625
1746223245.8617132,37000,141141.65625
1746223994.786659,38000,140886.875
1746224744.2066023,39000,129624.0078125
1746225490.9453027,40000,140028.578125
1746226243.41778,41000,137840.5
1746226992.9225638,42000,140272.28125
1746227750.7342846,43000,139704.078125
1746228504.3908987,44000,128800.03125
1746229255.5802279,45000,133635.0
1746230006.5671945,46000,141201.34375
1746230755.5535147,47000,134714.9375
1746231504.6044977,48000,133212.5
1746232255.6675332,49000,138684.640625
1746233008.8927658,50000,129288.5
1746233760.4558206,51000,133822.890625
1746234507.1772528,52000,138406.015625
1746235251.700576,53000,139168.109375
1746236003.0718856,54000,137197.921875
1746236746.9177988,55000,130100.703125
1746237494.4988837,56000,135848.15625
1746238242.7384415,57000,134887.203125
1746238984.7677255,58000,133701.84375
1746239731.9988017,59000,140335.734375
1746240478.3086069,60000,134478.296875
1746241224.0615675,61000,134879.015625
1746241968.0717158,62000,135347.0625
1746242717.764478,63000,136254.09375
1746243464.4636018,64000,134964.8125
1746244208.1537037,65000,143647.453125
1746244952.4617608,66000,130174.5390625
1746245696.465348,67000,139145.265625
1746246449.4946573,68000,135680.65625
1746247200.8946667,69000,135061.453125
1746247948.639377,70000,135955.6875
1746249054.8468163,71000,136694.078125
1746249829.6565156,72000,125242.8984375
1746250595.1628225,73000,125809.078125
1746251361.7263422,74000,137349.40625
1746252125.3379986,75000,136446.515625
1746252893.0076916,76000,143198.546875
1746253653.3748763,77000,131878.6875
1746254416.4161851,78000,135094.734375
1746255181.9593499,79000,137820.078125
1746255946.8667884,80000,138558.796875
1746256711.1645236,81000,143761.546875
1746257471.9300406,82000,132312.296875
1746258236.166178,83000,129194.015625
1746258998.497211,84000,138414.8125
1746259756.4910648,85000,131333.203125
1746260519.2775722,86000,139440.875
1746261279.660382,87000,127744.6484375
1746262039.1939347,88000,139122.328125
1746262800.3739138,89000,135512.890625
1746263558.1921806,90000,158394.0
1746264318.8803623,91000,131867.875
1746265070.7413797,92000,137001.546875
1746265828.4031403,93000,137132.390625
1746266587.599927,94000,137228.796875
1746267343.447471,95000,133474.140625
1746268099.0315244,96000,132916.40625
1746268850.9485533,97000,124710.8828125
1746269601.8509085,98000,137814.5625
1746270348.4132001,99000,130004.5390625
1746271100.803978,100000,134322.3125
1746271849.2234244,101000,135706.109375
1746272597.5778594,102000,140622.3125
1746273345.9719527,103000,129817.3984375
1746274093.5780973,104000,137509.84375
1746274837.1536746,105000,135242.65625
1746275578.527157,106000,123732.2109375
1746276318.982951,107000,131935.65625
1746277072.3939202,108000,133922.84375
1746277829.7450151,109000,137402.546875
1746278577.344946,110000,128744.4453125
1746279322.718931,111000,134146.265625
1746280065.4712338,112000,132539.515625
1746280807.8427362,113000,132237.765625
1746281549.0020378,114000,140160.109375
1746282289.823804,115000,137994.71875
1746283031.3480995,116000,142421.890625
1746283774.2030168,117000,141506.421875
1746284513.5825136,118000,139309.65625
1746285268.0122972,119000,143289.765625
1746286014.311965,120000,138523.15625
1746286757.4360166,121000,138410.90625
1746287497.0631728,122000,135388.65625
1746288237.3016646,123000,143896.109375
1746288980.965707,124000,138986.609375
1746289726.2407978,125000,136711.46875
1746290470.0398996,126000,143912.171875
1746291215.8547862,127000,136416.546875
1746292320.3045964,128000,130738.140625
1746293098.5904315,129000,143666.703125
1746293878.0453568,130000,142749.328125
1746294638.9552042,131000,135194.25
1746295388.0725842,132000,129033.2734375
1746296136.2557712,133000,133749.625
1746296883.8914113,134000,139084.609375
1746297631.975657,135000,140812.765625
1746298381.0564845,136000,136437.125
1746299129.2150846,137000,133804.234375
1746299878.4012594,138000,136625.484375
1746300625.845731,139000,139536.125
1746301372.5150537,140000,130093.6953125
1746302120.4884388,141000,140566.84375
1746302865.0885763,142000,129335.5234375
1746303610.353154,143000,135777.25
1746304359.3693013,144000,139054.078125
1746305107.7942066,145000,128538.75
1746305861.0139272,146000,145500.421875
1746306607.8898447,147000,135443.8125
1746307358.1371765,148000,135878.5625
1746308107.512849,149000,133567.890625
1746308854.6776905,150000,135456.96875
1746309600.884032,151000,143388.28125
1746310345.5015516,152000,132190.453125
1746311092.978423,153000,127470.34375
1746311840.4554563,154000,138958.015625
1746312587.0309184,155000,142274.734375
1746313334.1111982,156000,133081.265625
1746314075.7479558,157000,135093.171875
1746314821.4611557,158000,136324.5
1746315567.6363797,159000,140170.625
1746316312.2492337,160000,138796.78125
1746317055.1761518,161000,128157.015625
1746317797.6392682,162000,128132.21875
1746318544.245782,163000,132467.578125
1746319297.8791611,164000,132073.15625
1746320053.0933585,165000,137687.390625
1746320804.665888,166000,140727.46875
1746321558.7707276,167000,135323.78125
1746322305.266208,168000,135876.578125
1746323054.557764,169000,141786.890625
1746323799.5878656,170000,131057.5078125
1746324547.4454768,171000,138557.1875
1746325291.5359612,172000,142164.40625
1746326036.6945794,173000,136802.578125
1746326777.796634,174000,140038.578125
1746327518.3966594,175000,140662.1875
1746328255.7662175,176000,142996.71875
1746328997.1845388,177000,138109.453125
1746329747.2105298,178000,141142.875
1746330498.3705196,179000,131193.0625
1746331241.568445,180000,141086.34375
1746331977.5312705,181000,131986.4375
1746332717.8769014,182000,138819.046875
1746333459.9675794,183000,135969.59375
1746334197.9799957,184000,136709.78125
1746335581.7022676,185000,138908.921875
1746336349.9328282,186000,143054.328125
1746337119.7127218,187000,127809.46875
1746337885.255976,188000,131996.75
1746338654.8654394,189000,136265.515625
1746339420.5335314,190000,137413.015625
1746340187.7679546,191000,139541.265625
1746340956.1822152,192000,149250.765625
1746341727.103866,193000,141701.75
1746342495.0544386,194000,140346.28125
1746343261.7529273,195000,139793.859375
1746344030.463847,196000,133774.234375
1746344798.8191245,197000,132858.90625
1746345567.34309,198000,142995.5625
1746346336.1049712,199000,133314.234375
1746347101.524286,200000,138604.8125
1746347864.6132689,201000,136827.8125
1746348630.4163344,202000,138517.53125
1746349388.6533432,203000,140842.4375
1746350137.1583703,204000,148205.609375
1746350881.031576,205000,131248.78125
1746351625.9962082,206000,146541.6875
1746352371.0935009,207000,135185.078125
1746353114.3245656,208000,143081.578125
1746353859.8952882,209000,141598.078125
1746354602.096749,210000,143544.015625
1746355343.9160547,211000,137073.515625
1746356087.0124464,212000,127993.5
1746356831.9125004,213000,140043.203125
1746357578.7082703,214000,133703.0
1746358327.2226818,215000,137949.828125
1746359078.2846575,216000,132984.421875
1746359827.7502358,217000,133261.4375
1746360570.5222635,218000,133428.375
1746361310.930659,219000,140444.609375
1746362052.596481,220000,139747.9375
1746362792.7837036,221000,127830.6484375
1746363535.3876398,222000,146160.734375
1746364276.588971,223000,137889.15625
1746365017.1084933,224000,138822.046875
1746365756.9503293,225000,139736.90625
1746366494.286951,226000,132856.71875
1746367236.3375397,227000,134837.234375
1746367977.0780952,228000,143776.4375
1746368716.244115,229000,137828.21875
1746369454.7755466,230000,141270.4375
1746370193.452622,231000,136722.875
1746370933.4562309,232000,142948.46875
1746371677.9775064,233000,143068.0625
1746372421.272826,234000,131317.625
1746373161.2013142,235000,142211.46875
1746373898.5246632,236000,132056.578125
1746374637.6339922,237000,131014.9296875
1746375377.8048708,238000,140670.046875
1746376116.681201,239000,139153.0625
1746376854.7997696,240000,138170.734375
1746377593.099862,241000,137258.046875
1746378852.431539,242000,131026.6484375
1746379610.8531108,243000,131090.140625
1746380361.600591,244000,134262.0625
1746381106.8151793,245000,137001.953125
1746381851.6781948,246000,137700.28125
1746382598.5955575,247000,141925.90625
1746383350.8383362,248000,146343.109375
1746384094.3266191,249000,132457.3125
1746384837.3429923,250000,143351.125
1746385579.880454,251000,139128.6875
1746386325.2501612,252000,143931.4375
1746387071.8494349,253000,145321.140625
1746387816.7863672,254000,133129.5625
1746388563.7698247,255000,135190.0625
1746389307.4574378,256000,141677.125
1746390051.8092518,257000,138021.125
1746390796.128735,258000,140803.8125
1746391543.3447173,259000,138491.984375
1746392289.592804,260000,138951.65625
1746393040.2690468,261000,133176.328125
1746393801.5028555,262000,140852.015625
1746394546.895185,263000,139424.921875
1746395292.963295,264000,138710.90625
1746396035.4047701,265000,135945.671875
1746396774.702977,266000,134308.9375
